chave;time;jogador;posicao;preco;probabilidade
NICOLOPEZINT;INT;NICO LOPEZ INT;ATACANTE;15.24;13.89
EVERTONGRE;GRE;EVERTON GRE;ATACANTE;16.23;12.49
DUDUPAL;PAL;DUDU PAL;ATACANTE;18.09;12.13
GABRIELSAN;SAN;GABRIEL SAN;ATACANTE;14.21;9.03
VITINHOFLA;FLA;VITINHO FLA;ATACANTE;15.88;7.73
RODRYGOSAN;SAN;RODRYGO SAN;ATACANTE;13.04;7.68
RONYATL;ATL;RONY ATL;ATACANTE;8.68;7.32
FREDCRU;CRU;FRED CRU;ATACANTE;14.74;7.07
ERIKBOT;BOT;ERIK BOT;ATACANTE;4.67;5.58
BRENNERBOT;BOT;BRENNER BOT;ATACANTE;5.95;5.25
LUANATLMG;ATLMG;LUAN ATLMG;ATACANTE;14.11;5.12
URIBEFLA;FLA;URIBE FLA;ATACANTE;9.79;4.99
EDIGARJUNIOBAH;BAH;EDIGAR JUNIO BAH;ATACANTE;9.57;4.81
DEYVERSONPAL;PAL;DEYVERSON PAL;ATACANTE;5.52;4.73
RICARDOOLIVEIRAATLMG;ATLMG;RICARDO OLIVEIRA ATLMG;ATACANTE;11.14;4.45
BERGSONATL;ATL;BERGSON ATL;ATACANTE;4.27;4.18
MARCINHOATL;ATL;MARCINHO ATL;ATACANTE;4.28;4.15
CHARAATLMG;ATLMG;CHARA ATLMG;ATACANTE;10.9;4.10
RAFAELMOURAAME;AME;RAFAEL MOURA AME;ATACANTE;8.64;3.34
MAXILOPEZVAS;VAS;MAXI LOPEZ VAS;ATACANTE;9.13;3.33
LUANAME;AME;LUAN AME;ATACANTE;8.63;3.22
ERICKVIT;VIT;ERICK VIT;ATACANTE;7;2.73
LEOCEARAVIT;VIT;LEO CEARA VIT;ATACANTE;7.23;2.64
LUCASFERNANDESVIT;VIT;LUCAS FERNANDES VIT;ATACANTE;7.01;2.58
RHAYNERVIT;VIT;RHAYNER VIT;ATACANTE;7.79;2.42
CLAYTONBAH;BAH;CLAYTON BAH;ATACANTE;4.51;1.94
KELVINVAS;VAS;KELVIN VAS;ATACANTE;5.69;1.92
LEANDROCARVALHOCEA;CEA;LEANDRO CARVALHO CEA;ATACANTE;6.42;1.74
LEANDROPEREIRACHA;CHA;LEANDRO PEREIRA CHA;ATACANTE;10.61;1.68
WELLINGTONPAULISTACHA;CHA;WELLINGTON PAULISTA CHA;ATACANTE;9.15;1.35
FELIPEAZEVEDOCEA;CEA;FELIPE AZEVEDO CEA;ATACANTE;5.39;1.18
ARTHURCEA;CEA;ARTHUR CEA;ATACANTE;4.79;1.10
HERNANESPO;SPO;HERNANE SPO;ATACANTE;6.18;1.07
EVERALDOFLU;FLU;EVERALDO FLU;ATACANTE;5.41;0.84
LUCIANOFLU;FLU;LUCIANO FLU;ATACANTE;5.83;0.83
MATEUSGONCALVESSPO;SPO;MATEUS GONCALVES SPO;ATACANTE;3.19;0.63
ANDREYPAR;PAR;ANDREY PAR;ATACANTE;2.44;0.36
FELIPEAUGUSTOPAR;PAR;FELIPE AUGUSTO PAR;ATACANTE;2.88;0.24
CASSIOCOR;COR;CASSIO COR;GOLEIRO;10.86;8.52
MARCELOLOMBAINT;INT;MARCELO LOMBA INT;GOLEIRO;7.67;8.49
VANDERLEISAN;SAN;VANDERLEI SAN;GOLEIRO;14.41;8.21
JEFFERSONBOT;BOT;JEFFERSON BOT;GOLEIRO;8.15;7.26
WEVERTONPAL;PAL;WEVERTON PAL;GOLEIRO;8.83;6.41
FABIOCRU;CRU;FABIO CRU;GOLEIRO;11.1;5.26
PAULOVICTORGRE;GRE;PAULO VICTOR GRE;GOLEIRO;6.76;5.08
JEANSAO;SAO;JEAN SAO;GOLEIRO;4.74;4.41
VICTORATLMG;ATLMG;VICTOR ATLMG;GOLEIRO;10.49;3.93
CESARFLA;FLA;CESAR FLA;GOLEIRO;5.71;3.86
EVERSONCEA;CEA;EVERSON CEA;GOLEIRO;12.31;2.83
JOAORICARDOAME;AME;JOAO RICARDO AME;GOLEIRO;5.87;2.72
DOUGLASFRIEDRICHBAH;BAH;DOUGLAS FRIEDRICH BAH;GOLEIRO;4.27;2.46
JOAOGABRIELVIT;VIT;JOAO GABRIEL VIT;GOLEIRO;3.35;2.00
MAILSONSPO;SPO;MAILSON SPO;GOLEIRO;6.69;1.31
JANDREICHA;CHA;JANDREI CHA;GOLEIRO;4.43;0.65
RICHARDPAR;PAR;RICHARD PAR;GOLEIRO;4.97;0.57
REINALDOSAO;SAO;REINALDO SAO;LATERAL;11.51;11.23
IAGOINT;INT;IAGO INT;LATERAL;11.65;10.97
BRUNOCORTEZGRE;GRE;BRUNO CORTEZ GRE;LATERAL;13.77;9.90
DODOSAN;SAN;DODO SAN;LATERAL;13.44;8.52
MOISESBOT;BOT;MOISES BOT;LATERAL;8.47;8.45
FAGNERCOR;COR;FAGNER COR;LATERAL;9.62;8.01
RENEFLA;FLA;RENE FLA;LATERAL;15.29;7.68
VICTORFERRAZSAN;SAN;VICTOR FERRAZ SAN;LATERAL;10.91;7.08
MARCINHOBOT;BOT;MARCINHO BOT;LATERAL;6.99;7.05
FABIANOINT;INT;FABIANO INT;LATERAL;7.32;6.65
YAGOPIKACHUVAS;VAS;YAGO PIKACHU VAS;LATERAL;19.59;6.58
DIOGOBARBOSAPAL;PAL;DIOGO BARBOSA PAL;LATERAL;8.77;5.89
LEONARDOGRE;GRE;LEONARDO GRE;LATERAL;4.85;5.55
DIEGOFERREIRAATL;ATL;DIEGO FERREIRA ATL;LATERAL;3.95;4.97
CARLINHOSAME;AME;CARLINHOS AME;LATERAL;10.81;4.67
JEANPAL;PAL;JEAN PAL;LATERAL;6.48;4.59
LEOBAH;BAH;LEO BAH;LATERAL;9.1;4.48
CARLOSAUGUSTOCOR;COR;CARLOS AUGUSTO COR;LATERAL;1.93;4.47
NORBERTOAME;AME;NORBERTO AME;LATERAL;9.31;4.01
MARCIOAZEVEDOATL;ATL;MARCIO AZEVEDO ATL;LATERAL;4.54;3.38
EDILSONCRU;CRU;EDILSON CRU;LATERAL;6.7;3.02
PARAFLA;FLA;PARA FLA;LATERAL;5.36;2.95
FABIOSANTOSATLMG;ATLMG;FABIO SANTOS ATLMG;LATERAL;6.66;2.76
EMERSONATLMG;ATLMG;EMERSON ATLMG;LATERAL;5.34;2.34
BRUNOBAH;BAH;BRUNO BAH;LATERAL;3.85;2.33
MARCELOBENITEZVIT;VIT;MARCELO BENITEZ VIT;LATERAL;5.05;2.26
HENRIQUEVAS;VAS;HENRIQUE VAS;LATERAL;6.31;2.11
JEFERSONVIT;VIT;JEFERSON VIT;LATERAL;5.04;1.80
SAMUELXAVIERCEA;CEA;SAMUEL XAVIER CEA;LATERAL;6.18;1.60
AYRTONLUCASFLU;FLU;AYRTON LUCAS FLU;LATERAL;11.01;1.48
FELIPEJONATANCEA;CEA;FELIPE JONATAN CEA;LATERAL;3.65;1.37
BRUNOPACHECOCHA;CHA;BRUNO PACHECO CHA;LATERAL;7.46;1.27
EDUARDOCHA;CHA;EDUARDO CHA;LATERAL;7.35;1.24
CLAUDIOWINCKSPO;SPO;CLAUDIO WINCK SPO;LATERAL;4.64;0.81
LEOFLU;FLU;LEO FLU;LATERAL;4.52;0.71
IGORPAR;PAR;IGOR PAR;LATERAL;2.62;0.35
NENESAO;SAO;NENE SAO;MEIA;10.44;9.89
ZERAFAELBAH;BAH;ZE RAFAEL BAH;MEIA;19.3;9.54
RODRIGOLINDOSOBOT;BOT;RODRIGO LINDOSO BOT;MEIA;9.55;9.47
LEONARDOVALENCIABOT;BOT;LEONARDO VALENCIA BOT;MEIA;9.12;9.32
EVERTONSAO;SAO;EVERTON SAO;MEIA;8.95;8.41
EDENILSONINT;INT;EDENILSON INT;MEIA;9.34;8.25
ARRASCAETACRU;CRU;ARRASCAETA CRU;MEIA;16.25;8.07
CARLOSSANCHEZSAN;SAN;CARLOS SANCHEZ SAN;MEIA;10.85;6.80
BRUNOGUIMARAESATL;ATL;BRUNO GUIMARAES ATL;MEIA;8.31;6.61
RALFCOR;COR;RALF COR;MEIA;7.81;6.24
LUCASLIMAPAL;PAL;LUCAS LIMA PAL;MEIA;8.11;5.62
MAICONGRE;GRE;MAICON GRE;MEIA;7.51;5.57
D'ALESSANDROINT;INT;D'ALESSANDRO INT;MEIA;6.73;5.44
JADSONCOR;COR;JADSON COR;MEIA;6.49;5.22
LUIZFERNANDOBOT;BOT;LUIZ FERNANDO BOT;MEIA;4.78;4.88
ALISONSAN;SAN;ALISON SAN;MEIA;8.23;4.80
CAZARESATLMG;ATLMG;CAZARES ATLMG;MEIA;12.82;4.77
ELTONBAH;BAH;ELTON BAH;MEIA;9.5;4.62
PEDRINHOCOR;COR;PEDRINHO COR;MEIA;4.98;4.52
MATHEUSROSSETTOATL;ATL;MATHEUS ROSSETTO ATL;MEIA;6.66;4.44
CUELLARFLA;FLA;CUELLAR FLA;MEIA;9.16;4.34
RAMIRESBAH;BAH;RAMIRES BAH;MEIA;6.87;4.21
GREGOREBAH;BAH;GREGORE BAH;MEIA;8;4.12
MOISESPAL;PAL;MOISES PAL;MEIA;5.67;3.97
CAMACHOATL;ATL;CAMACHO ATL;MEIA;4.39;3.96
ANDREYVAS;VAS;ANDREY VAS;MEIA;9.61;3.95
THIAGONEVESCRU;CRU;THIAGO NEVES CRU;MEIA;8.45;3.79
EVERTONRIBEIROFLA;FLA;EVERTON RIBEIRO FLA;MEIA;6.87;3.70
JEANPYERREGRE;GRE;JEAN PYERRE GRE;MEIA;3.45;3.48
JUNINHOAME;AME;JUNINHO AME;MEIA;8.17;3.43
DANILOCOR;COR;DANILO COR;MEIA;2.95;3.00
FELIPEMELOPAL;PAL;FELIPE MELO PAL;MEIA;3.74;2.99
ELIASATLMG;ATLMG;ELIAS ATLMG;MEIA;7.34;2.97
DIEGOPITUCASAN;SAN;DIEGO PITUCA SAN;MEIA;3.94;2.78
WILLIANARAOFLA;FLA;WILLIAN ARAO FLA;MEIA;4.53;2.58
LUCASSILVACRU;CRU;LUCAS SILVA CRU;MEIA;4.95;2.45
THIAGOGALHARDOVAS;VAS;THIAGO GALHARDO VAS;MEIA;7.05;2.38
ROBINHOCRU;CRU;ROBINHO CRU;MEIA;5.34;2.36
THIAGUINHOCOR;COR;THIAGUINHO COR;MEIA;2.32;2.35
DUDUCEARENSEBOT;BOT;DUDU CEARENSE BOT;MEIA;2.92;2.22
DESABATOVAS;VAS;DESABATO VAS;MEIA;6.26;2.08
JUNINHOCEA;CEA;JUNINHO CEA;MEIA;7.44;1.83
RICHARDFLU;FLU;RICHARD FLU;MEIA;15.84;1.81
MATHEUSINHOAME;AME;MATHEUSINHO AME;MEIA;3.42;1.77
WILLIANFARIASVIT;VIT;WILLIAN FARIAS VIT;MEIA;4.08;1.44
MATHEUSGALDEZANIATLMG;ATLMG;MATHEUS GALDEZANI ATLMG;MEIA;3.48;1.36
JAIRSPO;SPO;JAIR SPO;MEIA;6.19;1.13
GABRIELSPO;SPO;GABRIEL SPO;MEIA;7.08;1.04
RICARDINHOCEA;CEA;RICARDINHO CEA;MEIA;4.57;1.03
CANTEROSCHA;CHA;CANTEROS CHA;MEIA;6.72;0.99
MICHELBASTOSSPO;SPO;MICHEL BASTOS SPO;MEIA;5.95;0.94
JADSONFLU;FLU;JADSON FLU;MEIA;7.53;0.86
SORNOZAFLU;FLU;SORNOZA FLU;MEIA;7.24;0.82
ALEXSANTANAPAR;PAR;ALEX SANTANA PAR;MEIA;4.98;0.75
AMARALCHA;CHA;AMARAL CHA;MEIA;4.45;0.71
DIEGOTORRESCHA;CHA;DIEGO TORRES CHA;MEIA;4.72;0.70
ZERICARDOAME;AME;ZE RICARDO AME;MEIA;0.89;0.66
MARCAOSILVASPO;SPO;MARCAO SILVA SPO;MEIA;4.28;0.66
MARCIOARAUJOCHA;CHA;MARCIO ARAUJO CHA;MEIA;3.71;0.65
LEANDROVILELAPAR;PAR;LEANDRO VILELA PAR;MEIA;4.9;0.58
EDINHOCEA;CEA;EDINHO CEA;MEIA;2.2;0.37
LEOGOMESVIT;VIT;LEO GOMES VIT;MEIA;0.9;0.31
WESLEYDIASPAR;PAR;WESLEY DIAS PAR;MEIA;1.39;0.22
ODAIRHELLMANNINT;INT;ODAIR HELLMANN INT;TECNICO;12.29;11.45
LUIZFELIPESCOLARIPAL;PAL;LUIZ FELIPE SCOLARI PAL;TECNICO;15.66;10.58
RENATOGAUCHOGRE;GRE;RENATO GAUCHO GRE;TECNICO;14.89;10.39
ANDREJARDINESAO;SAO;ANDRE JARDINE SAO;TECNICO;10.59;9.36
TIAGONUNESATL;ATL;TIAGO NUNES ATL;TECNICO;11.07;9.18
ZERICARDOBOT;BOT;ZE RICARDO BOT;TECNICO;9.43;8.83
JAIRVENTURACOR;COR;JAIR VENTURA COR;TECNICO;10.3;8.04
DORIVALJUNIORFLA;FLA;DORIVAL JUNIOR FLA;TECNICO;15.95;7.57
CUCASAN;SAN;CUCA SAN;TECNICO;10.9;6.70
ENDERSONMOREIRABAH;BAH;ENDERSON MOREIRA BAH;TECNICO;11.18;5.48
MANOMENEZESCRU;CRU;MANO MENEZES CRU;TECNICO;11.37;5.14
LEVIRCULPIATLMG;ATLMG;LEVIR CULPI ATLMG;TECNICO;9.98;3.67
ALBERTOVALENTIMVAS;VAS;ALBERTO VALENTIM VAS;TECNICO;10.11;3.43
GIVANILDOOLIVEIRAAME;AME;GIVANILDO OLIVEIRA AME;TECNICO;7.14;2.70
LISCACEA;CEA;LISCA CEA;TECNICO;8.83;2.02
JOAOBURSEVIT;VIT;JOAO BURSE VIT;TECNICO;5.75;1.95
CLAUDINEIOLIVEIRACHA;CHA;CLAUDINEI OLIVEIRA CHA;TECNICO;9.06;1.40
MILTONMENDESSPO;SPO;MILTON MENDES SPO;TECNICO;9.03;1.33
MARCELOOLIVEIRAFLU;FLU;MARCELO OLIVEIRA FLU;TECNICO;10.68;1.30
DADOCAVALCANTIPAR;PAR;DADO CAVALCANTI PAR;TECNICO;6.8;0.74
VICTORCUESTAINT;INT;VICTOR CUESTA INT;ZAGUEIRO;17.65;16.11
PEDROGEROMELGRE;GRE;PEDRO GEROMEL GRE;ZAGUEIRO;15.3;11.84
RODRIGOMOLEDOINT;INT;RODRIGO MOLEDO INT;ZAGUEIRO;11.31;11.54
KANNEMANNGRE;GRE;KANNEMANN GRE;ZAGUEIRO;13.62;11.34
IGORRABELLOBOT;BOT;IGOR RABELLO BOT;ZAGUEIRO;10.94;9.86
ARBOLEDASAO;SAO;ARBOLEDA SAO;ZAGUEIRO;9.32;9.12
REVERFLA;FLA;REVER FLA;ZAGUEIRO;16.07;7.40
MARCELOBENEVENUTOBOT;BOT;MARCELO BENEVENUTO BOT;ZAGUEIRO;6.82;7.27
HENRIQUECOR;COR;HENRIQUE COR;ZAGUEIRO;9.47;7.20
DEDECRU;CRU;DEDE CRU;ZAGUEIRO;10.89;5.65
LEODUARTEFLA;FLA;LEO DUARTE FLA;ZAGUEIRO;10.83;5.32
TIAGOBAH;BAH;TIAGO BAH;ZAGUEIRO;9.3;4.96
LEONARDOSILVAATLMG;ATLMG;LEONARDO SILVA ATLMG;ZAGUEIRO;9.81;4.02
GUSTAVOHENRIQUESAN;SAN;GUSTAVO HENRIQUE SAN;ZAGUEIRO;5.57;3.97
LEOCRU;CRU;LEO CRU;ZAGUEIRO;8.33;3.76
LUCASFONSECABAH;BAH;LUCAS FONSECA BAH;ZAGUEIRO;7.46;3.61
MESSIASAME;AME;MESSIAS AME;ZAGUEIRO;8.23;3.22
WANDERSONATL;ATL;WANDERSON ATL;ZAGUEIRO;3.51;2.91
LEOSANTOSCOR;COR;LEO SANTOS COR;ZAGUEIRO;2.68;2.75
MATHEUSFERRAZAME;AME;MATHEUS FERRAZ AME;ZAGUEIRO;5.56;2.47
GABRIELATLMG;ATLMG;GABRIEL ATLMG;ZAGUEIRO;6.6;2.46
LEANDROCASTANVAS;VAS;LEANDRO CASTAN VAS;ZAGUEIRO;7.67;2.39
WERLEYVAS;VAS;WERLEY VAS;ZAGUEIRO;5.9;2.21
LUIZOTAVIOCEA;CEA;LUIZ OTAVIO CEA;ZAGUEIRO;9.94;2.17
LUIZGUSTAVOVAS;VAS;LUIZ GUSTAVO VAS;ZAGUEIRO;5.44;2.08
LUIZFELIPESAN;SAN;LUIZ FELIPE SAN;ZAGUEIRO;2.4;1.85
LUCASRIBEIROVIT;VIT;LUCAS RIBEIRO VIT;ZAGUEIRO;4.58;1.76
TIAGOALVESCEA;CEA;TIAGO ALVES CEA;ZAGUEIRO;6.66;1.58
DOUGLASCHA;CHA;DOUGLAS CHA;ZAGUEIRO;7.4;1.20
ADERLLANVIT;VIT;ADERLLAN VIT;ZAGUEIRO;1.91;0.96
DIGAOFLU;FLU;DIGAO FLU;ZAGUEIRO;5.89;0.87
FABRICIOBRUNOCHA;CHA;FABRICIO BRUNO CHA;ZAGUEIRO;5.01;0.83
GUMFLU;FLU;GUM FLU;ZAGUEIRO;5.69;0.77
ERNANDOSPO;SPO;ERNANDO SPO;ZAGUEIRO;4.58;0.72
PAULORICARDOFLU;FLU;PAULO RICARDO FLU;ZAGUEIRO;4.38;0.66
ADRYELSONSPO;SPO;ADRYELSON SPO;ZAGUEIRO;2.8;0.62
JESIELPAR;PAR;JESIEL PAR;ZAGUEIRO;3.3;0.40
